key,durations
",,,","[384.4902,543.9905,584.041,576.4485,1039.9492,1039.7148,343.4531,664.1069,1351.9822,391.9236,480.2698,384.1455,751.4705,336.7715,1024.189,384.6733,383.6047,383.8569,351.7744,392.2246,415.094,448.6855,711.7249,384.0208,384.0718,391.9106,535.5188,-917428.8796,-813220.8808]"
",,.","[431.8225,976.1753]"
",,3",[560.325]
",,6",[1112.3875]
",,7",[567.3525]
",,<65027>","[832.1663,360.061]"
",,<65041>","[1024.1863,791.791,3759.0718]"
",,<alt>","[953.1592,1120.0876]"
",,<ctrl>","[591.4707,752.1082,1088.197,2864.3879,583.9399,1159.605,1063.8333,927.7607,1199.6499,791.4631,1199.9165,1377.6353]"
",,<shift>",[727.5725]
",,<shift_r>","[752.0103,2480.1519]"
",,<space>","[1880.3838,463.3472]"
",,a",[1384.5791]
",,o","[1119.3633,952.0632,584.6948]"
",,t",[479.4106]
",,u","[512.3965,512.8687,671.3645]"
",.,",[559.3816]
",.<65041>","[1320.542,3223.3127,9816.5063,896.1011,2592.8064]"
",.<space>","[583.9424,375.8494]"
",.i",[1216.0239]
",11",[608.47]
",30",[408.7151]
",4<65041>",[2176.1665]
",5<ctrl>",[952.9167]
",69",[999.9368]
",71","[288.123,280.0747,319.9077,287.8271]"
",75",[511.1426]
",<65027>e",[296.5244]
",<65027>j","[207.3379,831.1597]"
",<65027>s",[287.8589]
",<65027>t",[648.2083]
",<65027>w","[231.6953,1096.1501]"
",<65041>,","[1463.6182,688.1924,679.9744]"
",<65041>.","[1104.0537,408.7961,423.666,496.072,831.7305,400.593,680.3015,415.8689,392.0461,471.9395,352.897]"
",<65041><65041>",[1856.1477]
",<65041><ctrl>","[759.5938,424.9343,8023.2607,1759.6858,303.771,4960.9526]"
",<65041><shift_r>","[807.9631,4560.6902]"
",<65041>a",[3463.552]
",<65041>e","[392.0579,936.5645]"
",<65041>i","[496.5198,2735.7461,551.6611]"
",<65041>u","[1263.8713,3783.177]"
",<65041>ü","[384.4724,432.177,320.0632,391.9214]"
",<alt>1",[1464.4021]
",<alt><tab>","[45327.3235,640.0371]"
",<backspace><alt>",[27975.3918]
",<ctrl>1",[1648.9736]
",<ctrl>2","[1368.9407,1000.3318,2888.7363,966.9294]"
",<ctrl>3",[1264.6448]
",<ctrl><65041>",[840.0442]
",<ctrl><alt>",[33655.8713]
",<ctrl><shift>",[1048.5549]
",<ctrl>a",[1311.9265]
",<ctrl>i","[336.4077,320.595,375.8904,792.3562,343.9006,552.7292,823.8264,528.2849,1103.7302,711.8057,336.1042]"
",<ctrl>s","[768.6626,560.2922,1239.4114,7142.9795,2640.6624,1015.7043,1047.0408,6288.3792,503.8442,512.0596,640.1606,655.6565,576.1299,576.7693,1552.0007]"
",<ctrl>z","[1655.4043,944.4248,672.0422]"
",<enter><alt>",[15120.126]
",<shift><ctrl>",[1777.1501]
",<shift>a",[375.9399]
",<shift>f",[335.7593]
",<shift>g",[383.8396]
",<shift>s",[662.9641]
",<shift>t","[352.1838,535.9368,335.9846]"
",<shift>w",[311.2471]
",<shift_r><65041>",[2031.8804]
",<shift_r>a","[575.9045,600.4873,1078.6094,487.4692]"
",<shift_r>i",[408.054]
",<shift_r>u",[640.0552]
",<space>.",[688.6711]
",<space><65027>","[440.1738,376.0872]"
",<space><65041>","[840.1836,791.9983,487.4119,1047.9587,696.1169,1047.2732,672.8,831.7681,664.252,19575.4919,544.5403,640.1892,1327.4104,736.4636,464.7932,448.1987,871.7053,648.1453,791.5994,3728.4487,519.8765,1415.6279,839.7043,1496.6023,6223.9788,1407.0515,1271.9675,649.0752,568.6184,1032.709,911.7253,776.7725,1351.8318,560.782,543.9622,752.0544,-473927.845,-933845.1459]"
",<space><alt>","[1175.7649,1679.6621,952.4521,439.7417]"
",<space><ctrl>","[336.6597,1152.093,352.1621,495.7102,415.8799,401.1909,423.9121,984.0127]"
",<space><f7>",[3095.9951]
",<space><shift>","[311.77,383.5967,927.2007,1927.7651]"
",<space><shift_r>","[568.0623,544.218,328.2117,615.97,632.2136,342.6978]"
",<space>a","[372.387,312.0251,432.6038,495.6714,1103.2837,328.1321,239.3728,328.5598,423.8979,431.8706,592.6228,3136.2295]"
",<space>b","[360.0505,323.8677,152.0388,279.4058,607.5632,424.731,8152.1223]"
",<space>c","[639.5928,464.0408,431.7773,1512.5142,544.0339]"
",<space>d","[1399.9792,488.0159,823.7449]"
",<space>f","[487.5977,344.5142,424.2019]"
",<space>h","[360.1184,287.7708,280.1677]"
",<space>i","[487.9436,767.5127,383.4548,376.1477,383.9941,447.9695,384.8127,311.7039,1208.1541,344.3462,1055.6055]"
",<space>l","[552.5332,304.3418,360.3928]"
",<space>m","[246.0369,656.9861,279.6187,240.5918,288.4604]"
",<space>n","[3519.5833,392.072]"
",<space>o","[448.7053,400.1121,376.5103,344.2036,327.8198]"
",<space>p","[303.2258,832.1489,360.5354,415.8362,1367.4656,335.9041,-559150.6497]"
",<space>r","[863.6621,303.9661,464.1619,352.0808,783.9512,328.0383]"
",<space>s","[4960.1753,1126.9478,511.7493,424.0779,464.3184,424.6946,287.9338,1144.1169,519.8174,351.8279,311.7627]"
